tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,0,1994,\N,142,Drama,9.3,2150266.0
tt0468569,movie,The Dark Knight,The Dark Knight,0,2008,\N,152,"Action,Crime,Drama",9.0,2120532.0
tt1375666,movie,Inception,Inception,0,2010,\N,148,"Action,Adventure,Sci-Fi",8.8,1884687.0
tt0110912,movie,Pulp Fiction,Pulp Fiction,0,1994,\N,154,"Crime,Drama",8.9,1687256.0
tt0109830,movie,Forrest Gump,Forrest Gump,0,1994,\N,142,"Drama,Romance",8.8,1654440.0
tt0068646,movie,The Godfather,The Godfather,0,1972,\N,175,"Crime,Drama",9.2,1475647.0
tt1345836,movie,The Dark Knight Rises,The Dark Knight Rises,0,2012,\N,164,"Action,Thriller",8.4,1415735.0
tt0848228,movie,The Avengers,The Avengers,0,2012,\N,143,"Action,Adventure,Sci-Fi",8.0,1203720.0
tt0120689,movie,The Green Mile,The Green Mile,0,1999,\N,189,"Crime,Drama,Fantasy",8.6,1044648.0
tt0071562,movie,The Godfather: Part II,The Godfather: Part II,0,1974,\N,202,"Crime,Drama",9.0,1027058.0
tt0169547,movie,American Beauty,American Beauty,0,1999,\N,122,Drama,8.3,1006198.0
tt2015381,movie,Guardians of the Galaxy,Guardians of the Galaxy,0,2014,\N,121,"Action,Adventure,Comedy",8.0,976513.0
tt0434409,movie,V for Vendetta,V for Vendetta,0,2005,\N,132,"Action,Drama,Sci-Fi",8.2,967557.0
tt0266697,movie,Kill Bill: Vol. 1,Kill Bill: Vol. 1,0,2003,\N,111,"Action,Crime,Thriller",8.1,928628.0
tt1049413,movie,Up,Up,0,2009,\N,96,"Adventure,Animation,Comedy",8.2,865974.0
tt0120382,movie,The Truman Show,The Truman Show,0,1998,\N,103,"Comedy,Drama,Sci-Fi",8.1,857656.0
tt0119217,movie,Good Will Hunting,Good Will Hunting,0,1997,\N,126,"Drama,Romance",8.3,786253.0
tt0477348,movie,No Country for Old Men,No Country for Old Men,0,2007,\N,122,"Crime,Drama,Thriller",8.1,783264.0
tt0198781,movie,"Monsters, Inc.","Monsters, Inc.",0,2001,\N,92,"Adventure,Animation,Comedy",8.0,757029.0
tt0208092,movie,Snatch,Snatch,0,2000,\N,104,"Comedy,Crime",8.3,732110.0
tt1454468,movie,Gravity,Gravity,0,2013,\N,91,"Drama,Sci-Fi,Thriller",7.7,723439.0
tt0435761,movie,Toy Story 3,Toy Story 3,0,2010,\N,103,"Adventure,Animation,Comedy",8.3,704196.0
tt0416449,movie,300,300,0,2006,\N,117,"Action,Drama,Fantasy",7.7,701052.0
tt1843866,movie,Captain America: The Winter Soldier,Captain America: The Winter Soldier,0,2014,\N,136,"Action,Adventure,Sci-Fi",7.7,684629.0
tt1119646,movie,The Hangover,The Hangover,0,2009,\N,100,Comedy,7.7,680459.0
tt0253474,movie,The Pianist,The Pianist,0,2002,\N,150,"Biography,Drama,Music",8.5,661656.0
tt0075314,movie,Taxi Driver,Taxi Driver,0,1976,\N,114,"Crime,Drama",8.3,656973.0
tt1663202,movie,The Revenant,The Revenant,0,2015,\N,156,"Action,Adventure,Biography",8.0,639504.0
tt0378194,movie,Kill Bill: Vol. 2,Kill Bill: Vol. 2,0,2004,\N,137,"Action,Crime,Thriller",8.0,633265.0
tt2084970,movie,The Imitation Game,The Imitation Game,0,2014,\N,114,"Biography,Drama,Thriller",8.0,632588.0
tt1045658,movie,Silver Linings Playbook,Silver Linings Playbook,0,2012,\N,122,"Comedy,Drama,Romance",7.7,628593.0
tt0892769,movie,How to Train Your Dragon,How to Train Your Dragon,0,2010,\N,98,"Action,Adventure,Animation",8.1,623218.0
tt0405159,movie,Million Dollar Baby,Million Dollar Baby,0,2004,\N,132,"Drama,Sport",8.1,595865.0
tt0440963,movie,The Bourne Ultimatum,The Bourne Ultimatum,0,2007,\N,115,"Action,Mystery,Thriller",8.0,584227.0
tt0126029,movie,Shrek,Shrek,0,2001,\N,90,"Adventure,Animation,Comedy",7.8,574121.0
tt0116282,movie,Fargo,Fargo,0,1996,\N,98,"Crime,Drama,Thriller",8.1,572291.0
tt0816711,movie,World War Z,World War Z,0,2013,\N,116,"Action,Adventure,Horror",7.0,563355.0
tt0796366,movie,Star Trek,Star Trek,0,2009,\N,127,"Action,Adventure,Sci-Fi",7.9,560731.0
tt1631867,movie,Edge of Tomorrow,Edge of Tomorrow,0,2014,\N,113,"Action,Sci-Fi",7.9,557587.0
tt1981115,movie,Thor: The Dark World,Thor: The Dark World,0,2013,\N,112,"Action,Adventure,Fantasy",6.9,555226.0
tt2802144,movie,Kingsman: The Secret Service,Kingsman: The Secret Service,0,2014,\N,129,"Action,Adventure,Comedy",7.7,555059.0
tt0421715,movie,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,0,2008,\N,166,"Drama,Fantasy,Romance",7.8,549059.0
tt0780504,movie,Drive,Drive,0,2011,\N,100,"Crime,Drama",7.8,531101.0
tt0332280,movie,The Notebook,The Notebook,0,2004,\N,123,"Drama,Romance",7.8,484498.0
tt1798709,movie,Her,Her,0,2013,\N,126,"Drama,Romance,Sci-Fi",8.0,483750.0
tt0162222,movie,Cast Away,Cast Away,0,2000,\N,143,"Adventure,Drama,Romance",7.8,482206.0
tt0240772,movie,Ocean's Eleven,Ocean's Eleven,0,2001,\N,116,"Crime,Thriller",7.8,481806.0
tt0258463,movie,The Bourne Identity,The Bourne Identity,0,2002,\N,119,"Action,Mystery,Thriller",7.9,481298.0
tt0365748,movie,Shaun of the Dead,Shaun of the Dead,0,2004,\N,99,"Comedy,Horror",7.9,478968.0
tt0181689,movie,Minority Report,Minority Report,0,2002,\N,145,"Action,Crime,Mystery",7.6,477289.0
tt1323594,movie,Despicable Me,Despicable Me,0,2010,\N,95,"Animation,Comedy,Family",7.6,472627.0
tt0343818,movie,"I, Robot","I, Robot",0,2004,\N,115,"Action,Crime,Drama",7.1,472087.0
tt0071853,movie,Monty Python and the Holy Grail,Monty Python and the Holy Grail,0,1975,\N,91,"Adventure,Comedy,Fantasy",8.2,470566.0
tt0409459,movie,Watchmen,Watchmen,0,2009,\N,162,"Action,Drama,Mystery",7.6,462460.0
tt1408101,movie,Star Trek Into Darkness,Star Trek Into Darkness,0,2013,\N,132,"Action,Adventure,Sci-Fi",7.7,449200.0
tt0096874,movie,Back to the Future Part II,Back to the Future Part II,0,1989,\N,108,"Adventure,Comedy,Sci-Fi",7.8,438086.0
tt0206634,movie,Children of Men,Children of Men,0,2006,\N,109,"Drama,Sci-Fi,Thriller",7.9,435754.0
tt0425112,movie,Hot Fuzz,Hot Fuzz,0,2007,\N,121,"Action,Comedy,Mystery",7.8,433858.0
tt0448157,movie,Hancock,Hancock,0,2008,\N,92,"Action,Fantasy",6.4,419616.0
tt0454921,movie,The Pursuit of Happyness,The Pursuit of Happyness,0,2006,\N,117,"Biography,Drama",8.0,413448.0
tt0372183,movie,The Bourne Supremacy,The Bourne Supremacy,0,2004,\N,108,"Action,Mystery,Thriller",7.7,412454.0
tt2179136,movie,American Sniper,American Sniper,0,2014,\N,133,"Action,Biography,Drama",7.3,409076.0
tt0443706,movie,Zodiac,Zodiac,0,2007,\N,157,"Crime,Drama,Mystery",7.7,404754.0
tt1099212,movie,Twilight,Twilight,0,2008,\N,122,"Drama,Fantasy,Romance",5.2,400195.0
tt1515091,movie,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,0,2011,\N,129,"Action,Adventure,Crime",7.5,399554.0
tt0367594,movie,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,0,2005,\N,115,"Adventure,Comedy,Family",6.6,396708.0
tt0319061,movie,Big Fish,Big Fish,0,2003,\N,125,"Adventure,Drama,Fantasy",8.0,394587.0
tt1535109,movie,Captain Phillips,Captain Phillips,0,2013,\N,134,"Biography,Drama,Thriller",7.8,393765.0
tt0314331,movie,Love Actually,Love Actually,0,2003,\N,135,"Comedy,Drama,Romance",7.6,390732.0
tt0441773,movie,Kung Fu Panda,Kung Fu Panda,0,2008,\N,92,"Action,Adventure,Animation",7.5,389803.0
tt1723121,movie,We're the Millers,We're the Millers,0,2013,\N,110,"Comedy,Crime",7.0,378094.0
tt0362227,movie,The Terminal,The Terminal,0,2004,\N,128,"Comedy,Drama,Romance",7.3,373041.0
tt0120616,movie,The Mummy,The Mummy,0,1999,\N,124,"Action,Adventure,Fantasy",7.0,371624.0
tt1055369,movie,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,0,2009,\N,150,"Action,Adventure,Sci-Fi",6.0,369145.0
tt2980516,movie,The Theory of Everything,The Theory of Everything,0,2014,\N,123,"Biography,Drama,Romance",7.7,368868.0
tt1014759,movie,Alice in Wonderland,Alice in Wonderland,0,2010,\N,108,"Adventure,Family,Fantasy",6.4,363924.0
tt0139654,movie,Training Day,Training Day,0,2001,\N,122,"Crime,Drama,Thriller",7.7,362777.0
tt0831387,movie,Godzilla,Godzilla,0,2014,\N,123,"Action,Adventure,Sci-Fi",6.4,359047.0
tt0163651,movie,American Pie,American Pie,0,1999,\N,95,Comedy,7.0,357360.0
tt0942385,movie,Tropic Thunder,Tropic Thunder,0,2008,\N,107,"Action,Comedy,War",7.0,357156.0
tt1060277,movie,Cloverfield,Cloverfield,0,2008,\N,85,"Horror,Sci-Fi,Thriller",7.0,356013.0
tt0265086,movie,Black Hawk Down,Black Hawk Down,0,2001,\N,144,"Drama,History,War",7.7,344878.0
tt0369339,movie,Collateral,Collateral,0,2004,\N,120,"Crime,Drama,Thriller",7.5,339683.0
tt0349903,movie,Ocean's Twelve,Ocean's Twelve,0,2004,\N,125,"Crime,Thriller",6.5,336766.0
tt1282140,movie,Easy A,Easy A,0,2010,\N,92,"Comedy,Drama,Romance",7.1,336156.0
tt1596343,movie,Fast Five,Fast Five,0,2011,\N,130,"Action,Adventure,Thriller",7.3,335202.0
tt1371111,movie,Cloud Atlas,Cloud Atlas,0,2012,\N,172,"Action,Drama,Mystery",7.4,330299.0
tt0840361,movie,The Town,The Town,0,2010,\N,125,"Crime,Drama,Thriller",7.5,327698.0
tt0232500,movie,The Fast and the Furious,The Fast and the Furious,0,2001,\N,106,"Action,Crime,Thriller",6.8,326699.0
tt0317740,movie,The Italian Job,The Italian Job,0,2003,\N,111,"Action,Crime,Thriller",7.0,326423.0
tt0438488,movie,Terminator Salvation,Terminator Salvation,0,2009,\N,115,"Action,Sci-Fi",6.5,325522.0
tt1596363,movie,The Big Short,The Big Short,0,2015,\N,130,"Biography,Comedy,Drama",7.8,319596.0
tt0454848,movie,Inside Man,Inside Man,0,2006,\N,129,"Crime,Drama,Mystery",7.6,317948.0
tt1409024,movie,Men in Black 3,Men in Black 3,0,2012,\N,106,"Action,Adventure,Comedy",6.8,317365.0
tt0317919,movie,Mission: Impossible III,Mission: Impossible III,0,2006,\N,126,"Action,Adventure,Thriller",6.9,311605.0
tt0162661,movie,Sleepy Hollow,Sleepy Hollow,0,1999,\N,105,"Fantasy,Horror,Mystery",7.3,310726.0
tt0455944,movie,The Equalizer,The Equalizer,0,2014,\N,132,"Action,Crime,Thriller",7.2,309056.0
tt1490017,movie,The Lego Movie,The Lego Movie,0,2014,\N,100,"Action,Adventure,Animation",7.8,308992.0
tt0343660,movie,50 First Dates,50 First Dates,0,2004,\N,99,"Comedy,Drama,Romance",6.8,308655.0
tt0377092,movie,Mean Girls,Mean Girls,0,2004,\N,97,Comedy,7.0,308202.0
tt1907668,movie,Flight,Flight,0,2012,\N,138,"Drama,Thriller",7.3,307460.0
tt1193138,movie,Up in the Air,Up in the Air,0,2009,\N,109,"Comedy,Drama,Romance",7.4,304234.0
tt1306980,movie,50/50,50/50,0,2011,\N,100,"Comedy,Drama,Romance",7.6,303950.0
tt0496806,movie,Ocean's Thirteen,Ocean's Thirteen,0,2007,\N,122,"Crime,Thriller",6.9,301979.0
tt0238380,movie,Equilibrium,Equilibrium,0,2002,\N,107,"Action,Drama,Sci-Fi",7.4,299314.0
tt0212338,movie,Meet the Parents,Meet the Parents,0,2000,\N,108,"Comedy,Romance",7.0,296318.0
tt0462538,movie,The Simpsons Movie,The Simpsons Movie,0,2007,\N,87,"Adventure,Animation,Comedy",7.3,296036.0
tt0822854,movie,Shooter,Shooter,0,2007,\N,124,"Action,Drama,Thriller",7.2,295555.0
tt0091042,movie,Ferris Bueller's Day Off,Ferris Bueller's Day Off,0,1986,\N,103,Comedy,7.8,295203.0
tt0399201,movie,The Island,The Island,0,2005,\N,136,"Action,Sci-Fi,Thriller",6.8,290493.0
tt1707386,movie,Les Misérables,Les Misérables,0,2012,\N,158,"Drama,History,Musical",7.6,290373.0
tt2788710,movie,The Interview,The Interview,0,2014,\N,112,"Action,Adventure,Comedy",6.5,290332.0
tt0209163,movie,The Mummy Returns,The Mummy Returns,0,2001,\N,130,"Action,Adventure,Fantasy",6.3,287494.0
tt0433035,movie,Real Steel,Real Steel,0,2011,\N,127,"Action,Drama,Family",7.1,286025.0
tt0360486,movie,Constantine,Constantine,0,2005,\N,121,"Action,Fantasy,Horror",7.0,284791.0
tt0100802,movie,Total Recall,Total Recall,0,1990,\N,113,"Action,Sci-Fi,Thriller",7.5,282462.0
tt0386588,movie,Hitch,Hitch,0,2005,\N,118,"Comedy,Romance",6.6,281722.0
tt0944835,movie,Salt,Salt,0,2010,\N,100,"Action,Mystery,Thriller",6.4,280559.0
tt0129387,movie,There's Something About Mary,There's Something About Mary,0,1998,\N,119,"Comedy,Romance",7.1,277912.0
tt0056592,movie,To Kill a Mockingbird,To Kill a Mockingbird,0,1962,\N,129,"Crime,Drama",8.3,277372.0
tt0147800,movie,10 Things I Hate About You,10 Things I Hate About You,0,1999,\N,97,"Comedy,Drama,Romance",7.3,275142.0
tt0472043,movie,Apocalypto,Apocalypto,0,2006,\N,139,"Action,Adventure,Drama",7.8,274172.0
tt2194499,movie,About Time,About Time,0,2013,\N,123,"Comedy,Drama,Fantasy",7.8,272913.0
tt0107688,movie,The Nightmare Before Christmas,The Nightmare Before Christmas,0,1993,\N,76,"Animation,Family,Fantasy",8.0,272808.0
tt0814314,movie,Seven Pounds,Seven Pounds,0,2008,\N,123,Drama,7.6,272334.0
tt0878804,movie,The Blind Side,The Blind Side,0,2009,\N,129,"Biography,Drama,Sport",7.6,272224.0
tt1194173,movie,The Bourne Legacy,The Bourne Legacy,0,2012,\N,135,"Action,Adventure,Thriller",6.7,271863.0
tt2004420,movie,Neighbors,Neighbors,0,2014,\N,97,Comedy,6.3,270171.0
tt0092099,movie,Top Gun,Top Gun,0,1986,\N,110,"Action,Drama",6.9,268979.0
tt1253863,movie,300: Rise of an Empire,300: Rise of an Empire,0,2014,\N,102,Action,6.2,267201.0
tt0119528,movie,Liar Liar,Liar Liar,0,1997,\N,86,"Comedy,Fantasy",6.9,264518.0
tt1735898,movie,Snow White and the Huntsman,Snow White and the Huntsman,0,2012,\N,127,"Action,Adventure,Drama",6.1,261947.0
tt1591095,movie,Insidious,Insidious,0,2010,\N,103,"Horror,Mystery,Thriller",6.8,259883.0
tt0109040,movie,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,0,1994,\N,86,Comedy,6.9,259723.0
tt1645170,movie,The Dictator,The Dictator,0,2012,\N,83,Comedy,6.4,255293.0
tt1790885,movie,Zero Dark Thirty,Zero Dark Thirty,0,2012,\N,157,"Drama,Thriller",7.4,255116.0
tt0320661,movie,Kingdom of Heaven,Kingdom of Heaven,0,2005,\N,144,"Action,Adventure,Drama",7.2,253548.0
tt1478338,movie,Bridesmaids,Bridesmaids,0,2011,\N,125,"Comedy,Romance",6.8,253273.0
tt1259571,movie,The Twilight Saga: New Moon,The Twilight Saga: New Moon,0,2009,\N,130,"Adventure,Drama,Fantasy",4.7,251914.0
tt0125439,movie,Notting Hill,Notting Hill,0,1999,\N,124,"Comedy,Drama,Romance",7.1,250609.0
tt1706620,movie,Snowpiercer,Snowpiercer,0,2013,\N,126,"Action,Drama,Sci-Fi",7.1,249028.0
tt1013752,movie,Fast & Furious,Fast & Furious,0,2009,\N,107,"Action,Adventure,Thriller",6.6,247172.0
tt0411477,movie,Hellboy II: The Golden Army,Hellboy II: The Golden Army,0,2008,\N,120,"Action,Adventure,Fantasy",7.0,245878.0
tt0463854,movie,28 Weeks Later,28 Weeks Later,0,2007,\N,100,"Drama,Horror,Sci-Fi",7.0,245040.0
