,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,watchDate,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,\N
0,tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,0,1994,\N,142,Drama,9.3,2150266.0,19/07/2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,tt0468569,movie,The Dark Knight,The Dark Knight,0,2008,\N,152,Action,9.0,2120532.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,tt1375666,movie,Inception,Inception,0,2010,\N,148,Action,8.8,1884687.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,tt0110912,movie,Pulp Fiction,Pulp Fiction,0,1994,\N,154,Crime,8.9,1687256.0,\N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,tt0109830,movie,Forrest Gump,Forrest Gump,0,1994,\N,142,Drama,8.8,1654440.0,\N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,tt0068646,movie,The Godfather,The Godfather,0,1972,\N,175,Crime,9.2,1475647.0,\N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,tt1345836,movie,The Dark Knight Rises,The Dark Knight Rises,0,2012,\N,164,Action,8.4,1415735.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,tt0848228,movie,The Avengers,The Avengers,0,2012,\N,143,Action,8.0,1203720.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,tt0120689,movie,The Green Mile,The Green Mile,0,1999,\N,189,Crime,8.6,1044648.0,\N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,tt0071562,movie,The Godfather: Part II,The Godfather: Part II,0,1974,\N,202,Crime,9.0,1027058.0,\N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,tt0169547,movie,American Beauty,American Beauty,0,1999,\N,122,Drama,8.3,1006198.0,\N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,tt2015381,movie,Guardians of the Galaxy,Guardians of the Galaxy,0,2014,\N,121,Action,8.0,976513.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,tt0434409,movie,V for Vendetta,V for Vendetta,0,2005,\N,132,Action,8.2,967557.0,26/06/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
