,tconst,titleType,primaryTitle,originalTitle,endYear,genres,watchDate,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,noGenre,isAdult,startYear,averageRating,numVotes,runtimeMinutes,cluster,clusPercent
0,tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,0,Drama,19/07/2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,9.3,2150266.0,142,4,14.285714285714285
1,tt0468569,movie,The Dark Knight,The Dark Knight,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,9.0,2120532.0,152,4,14.285714285714285
2,tt1375666,movie,Inception,Inception,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,8.8,1884687.0,148,4,14.285714285714285
3,tt0110912,movie,Pulp Fiction,Pulp Fiction,0,Crime,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,8.9,1687256.0,154,4,14.285714285714285
4,tt0109830,movie,Forrest Gump,Forrest Gump,0,Drama,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,8.8,1654440.0,142,4,14.285714285714285
5,tt0068646,movie,The Godfather,The Godfather,0,Crime,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,9.2,1475647.0,175,4,14.285714285714285
6,tt1345836,movie,The Dark Knight Rises,The Dark Knight Rises,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,8.4,1415735.0,164,4,14.285714285714285
7,tt0848228,movie,The Avengers,The Avengers,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,8.0,1203720.0,143,2,22.22222222222222
8,tt0120689,movie,The Green Mile,The Green Mile,0,Crime,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,8.6,1044648.0,189,2,22.22222222222222
9,tt0071562,movie,The Godfather: Part II,The Godfather: Part II,0,Crime,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,9.0,1027058.0,202,2,22.22222222222222
10,tt0169547,movie,American Beauty,American Beauty,0,Drama,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,8.3,1006198.0,122,2,22.22222222222222
11,tt2015381,movie,Guardians of the Galaxy,Guardians of the Galaxy,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,8.0,976513.0,121,2,22.22222222222222
12,tt0434409,movie,V for Vendetta,V for Vendetta,0,Action,26/06/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,8.2,967557.0,132,2,22.22222222222222
13,tt0266697,movie,Kill Bill: Vol. 1,Kill Bill: Vol. 1,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,8.1,928628.0,111,2,22.22222222222222
14,tt1049413,movie,Up,Up,0,Adventure,24/03/2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,8.2,865974.0,96,2,22.22222222222222
15,tt0120382,movie,The Truman Show,The Truman Show,0,Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,8.1,857656.0,103,2,22.22222222222222
16,tt0119217,movie,Good Will Hunting,Good Will Hunting,0,Drama,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,8.3,786253.0,126,5,15.384615384615385
17,tt0477348,movie,No Country for Old Men,No Country for Old Men,0,Crime,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,8.1,783264.0,122,5,15.384615384615385
